Zone Name,Area Name
North Zone,Tondiarpet
North Zone,Royapuram
North Zone,Thiru-Vi-Ka Nagar
North Zone,Manali
North Zone,Washermanpet
North Zone,Choolai
North Zone,Madhavaram
North Zone,Sembium
North Zone,Retteri
Central Zone,George Town
Central Zone,Sowcarpet
Central Zone,Triplicane
Central Zone,Mylapore
Central Zone,Egmore
Central Zone,Nungambakkam
Central Zone,Purasawalkam
Central Zone,Chintadripet
Central Zone,Vepery
West Zone,Anna Nagar
West Zone,Kilpauk
West Zone,Mogappair
West Zone,Ambattur
West Zone,Virugambakkam
West Zone,Koyambedu
West Zone,Valasaravakkam
West Zone,Avadi
West Zone,Ayyapakkam
West Zone,Maduravoyal
West Zone,Nolambur
South Zone,Adyar
South Zone,Besant Nagar
South Zone,Thiruvanmiyur
South Zone,Velachery
South Zone,Guindy
South Zone,Kotturpuram
South Zone,Madipakkam
South Zone,Pallikaranai
South Zone,Perungudi
South Zone,Sholinganallur
South Zone,Karapakkam
South Zone,Neelankarai
Southwest Zone,Saidapet
Southwest Zone,T. Nagar
Southwest Zone,Kodambakkam
Southwest Zone,Teynampet
Southwest Zone,West Mambalam
Southwest Zone,Ashok Nagar
Southwest Zone,Alwarpet
Southwest Zone,Nandanam
Southeast Zone,Sholinganallur
Southeast Zone,Perungudi
Southeast Zone,Thoraipakkam
Southeast Zone,Neelankarai
Southeast Zone,Palavakkam
Southeast Zone,Kottivakkam
Southeast Zone,Injambakkam
Southeast Zone,Tambaram
Southeast Zone,Velachery
Southeast Zone,Medavakkam
Southeast Zone,Perumbakkam
Northwest Zone,Madhavaram
Northwest Zone,Perambur
Northwest Zone,Kolathur
Northwest Zone,Puzhal
Northwest Zone,Sembium
Northwest Zone,Retteri
Northwest Zone,Villivakkam
Northwest Zone,Ayanavaram
Northwest Zone,Korattur
